职位id,关系,薪资
242,所开薪资,2-3K
243,所开薪资,2-3K
244,所开薪资,2-4K
245,所开薪资,2-6K
246,所开薪资,2-4K
247,所开薪资,2-5K
248,所开薪资,2-4K
249,所开薪资,1-6K
250,所开薪资,2-6K
251,所开薪资,2-7K
252,所开薪资,1-2K
253,所开薪资,2-4K
254,所开薪资,2-3K
255,所开薪资,2-7K·13薪
256,所开薪资,2-6K
257,所开薪资,2-6K
258,所开薪资,2-4K
259,所开薪资,1-6K
260,所开薪资,2-5K
261,所开薪资,2-3K
262,所开薪资,2-7K
263,所开薪资,2-3K
264,所开薪资,1-4K
265,所开薪资,2-3K
266,所开薪资,2-3K
267,所开薪资,1-2K
268,所开薪资,2-4K
269,所开薪资,1-2K
270,所开薪资,2-5K
271,所开薪资,1-2K
272,所开薪资,2-5K
273,所开薪资,2-4K
274,所开薪资,2-5K
275,所开薪资,2-4K
276,所开薪资,2-4K·13薪
277,所开薪资,2-4K
278,所开薪资,2-3K
279,所开薪资,2-3K
280,所开薪资,1-5K
281,所开薪资,2-3K
282,所开薪资,1-6K
283,所开薪资,2-4K
284,所开薪资,2-6K
285,所开薪资,2-5K
286,所开薪资,2-5K
287,所开薪资,2-4K
288,所开薪资,2-4K
289,所开薪资,2-4K
290,所开薪资,2-3K
291,所开薪资,2-5K
292,所开薪资,2-7K
293,所开薪资,1-2K
294,所开薪资,1-2K
295,所开薪资,2-5K
296,所开薪资,2-4K
297,所开薪资,2-6K
298,所开薪资,2-7K
299,所开薪资,2-5K
300,所开薪资,2-3K
301,所开薪资,2-3K
302,所开薪资,2-3K
303,所开薪资,2-4K
304,所开薪资,2-3K
305,所开薪资,2-5K
306,所开薪资,2-3K
307,所开薪资,2-6K
308,所开薪资,2-3K·13薪
309,所开薪资,1-2K
310,所开薪资,2-5K
311,所开薪资,2-4K
312,所开薪资,1-4K
313,所开薪资,2-5K
314,所开薪资,2-5K
315,所开薪资,2-4K
316,所开薪资,1-3K
317,所开薪资,2-3K
318,所开薪资,2-5K
319,所开薪资,1-5K
320,所开薪资,2-4K
321,所开薪资,2-3K
322,所开薪资,2-4K·13薪
323,所开薪资,2-5K
324,所开薪资,2-3K
325,所开薪资,2-4K
326,所开薪资,1-2K
327,所开薪资,2-3K
328,所开薪资,2-7K
329,所开薪资,2-3K·13薪
330,所开薪资,2-4K
331,所开薪资,2-3K
332,所开薪资,2-3K
333,所开薪资,2-5K
334,所开薪资,2-4K
335,所开薪资,2-3K
336,所开薪资,2-3K
337,所开薪资,2-4K
338,所开薪资,2-4K
339,所开薪资,2-4K
340,所开薪资,2-4K
341,所开薪资,2-5K
342,所开薪资,2-3K
343,所开薪资,2-4K
344,所开薪资,1-2K
345,所开薪资,2-3K
346,所开薪资,1-2K
347,所开薪资,2-3K
348,所开薪资,1-4K
349,所开薪资,2-7K
350,所开薪资,2-4K
351,所开薪资,2-7K
352,所开薪资,2-4K
353,所开薪资,2-5K
354,所开薪资,2-5K
355,所开薪资,2-3K
356,所开薪资,2-3K
357,所开薪资,1-5K
358,所开薪资,1-3K
359,所开薪资,2-5K
360,所开薪资,1-2K
361,所开薪资,1-3K·13薪
362,所开薪资,1-2K
363,所开薪资,2-3K
364,所开薪资,2-4K
365,所开薪资,1-6K
366,所开薪资,2-4K
367,所开薪资,1-4K
368,所开薪资,2-3K
369,所开薪资,2-5K
370,所开薪资,2-4K
371,所开薪资,2-3K
372,所开薪资,2-3K
373,所开薪资,2-3K
374,所开薪资,2-5K
375,所开薪资,1-5K
376,所开薪资,2-3K
377,所开薪资,2-7K
378,所开薪资,2-3K
379,所开薪资,2-4K
380,所开薪资,2-4K
381,所开薪资,2-6K
382,所开薪资,2-3K
383,所开薪资,2-4K
384,所开薪资,2-6K
385,所开薪资,1-5K·13薪
386,所开薪资,2-7K
387,所开薪资,2-4K
388,所开薪资,2-3K
389,所开薪资,2-3K
390,所开薪资,2-4K
391,所开薪资,2-5K
392,所开薪资,2-4K
393,所开薪资,1-3K
394,所开薪资,2-5K
395,所开薪资,2-4K
396,所开薪资,2-5K
397,所开薪资,1-2K
398,所开薪资,2-4K
399,所开薪资,1-3K
400,所开薪资,2-4K
401,所开薪资,2-6K
402,所开薪资,2-6K
403,所开薪资,2-3K
404,所开薪资,1-3K
405,所开薪资,2-6K
406,所开薪资,1-6K
407,所开薪资,2-7K·13薪
408,所开薪资,2-3K
409,所开薪资,2-4K
410,所开薪资,1-2K
411,所开薪资,2-7K
412,所开薪资,1-6K
413,所开薪资,2-3K
414,所开薪资,2-6K
415,所开薪资,2-3K
416,所开薪资,1-2K
417,所开薪资,2-3K
418,所开薪资,2-5K
419,所开薪资,1-2K
420,所开薪资,2-3K
421,所开薪资,2-3K
422,所开薪资,2-5K
423,所开薪资,2-7K
424,所开薪资,2-4K
425,所开薪资,2-5K
426,所开薪资,2-7K
427,所开薪资,2-6K
428,所开薪资,2-4K
429,所开薪资,1-6K
430,所开薪资,2-4K
431,所开薪资,2-7K
432,所开薪资,2-4K
433,所开薪资,2-5K
434,所开薪资,1-2K
435,所开薪资,2-3K
436,所开薪资,2-3K
437,所开薪资,2-3K·13薪
438,所开薪资,2-6K
439,所开薪资,2-4K
440,所开薪资,2-4K
441,所开薪资,2-3K
442,所开薪资,2-4K
443,所开薪资,1-3K
444,所开薪资,2-3K
445,所开薪资,2-4K
446,所开薪资,2-3K
447,所开薪资,1-6K
448,所开薪资,2-5K
449,所开薪资,1-2K
450,所开薪资,2-7K
451,所开薪资,1-2K
452,所开薪资,2-4K
453,所开薪资,2-6K
454,所开薪资,1-2K
455,所开薪资,1-2K
456,所开薪资,2-3K
457,所开薪资,1-6K
458,所开薪资,2-7K
459,所开薪资,2-4K
460,所开薪资,2-6K
461,所开薪资,2-4K
462,所开薪资,2-3K
463,所开薪资,2-5K
464,所开薪资,1-2K
465,所开薪资,2-7K
466,所开薪资,2-3K
467,所开薪资,1-3K
468,所开薪资,2-7K
469,所开薪资,2-4K
470,所开薪资,2-3K
471,所开薪资,1-4K
472,所开薪资,2-3K
473,所开薪资,2-3K
474,所开薪资,2-3K
475,所开薪资,1-2K
476,所开薪资,2-3K
477,所开薪资,2-3K
478,所开薪资,2-5K
479,所开薪资,2-4K
480,所开薪资,2-4K
481,所开薪资,1-2K
482,所开薪资,2-3K
483,所开薪资,2-3K
484,所开薪资,2-3K
485,所开薪资,2-5K
486,所开薪资,2-3K
487,所开薪资,2-5K
488,所开薪资,2-4K
489,所开薪资,2-5K
490,所开薪资,2-7K
491,所开薪资,2-4K
492,所开薪资,2-4K
493,所开薪资,2-7K
494,所开薪资,1-2K
495,所开薪资,2-5K
496,所开薪资,2-4K
497,所开薪资,2-3K
498,所开薪资,2-7K
499,所开薪资,1-2K
500,所开薪资,2-3K
501,所开薪资,2-4K·13薪
502,所开薪资,2-3K
503,所开薪资,1-5K
504,所开薪资,2-4K
505,所开薪资,2-5K
506,所开薪资,2-3K
507,所开薪资,2-4K
508,所开薪资,2-3K
509,所开薪资,4-8K
510,所开薪资,4-8K
511,所开薪资,4-8K
512,所开薪资,4-5K
513,所开薪资,4-7K
514,所开薪资,4-8K
515,所开薪资,3-8K
516,所开薪资,4-8K
517,所开薪资,4-7K·13薪
518,所开薪资,3-8K
519,所开薪资,4-8K
520,所开薪资,2-5K
521,所开薪资,2-6K
522,所开薪资,4-5K
523,所开薪资,3-5K
524,所开薪资,4-7K
525,所开薪资,4-9K
526,所开薪资,4-8K
527,所开薪资,4-8K
528,所开薪资,3-5K
529,所开薪资,2-6K
530,所开薪资,2-7K
531,所开薪资,4-9K
532,所开薪资,4-9K
533,所开薪资,2-5K
534,所开薪资,1-6K
