公司名称,职位名称,薪资,学历要求,职位描述,
深圳市梭芯智能有限公司,机器人软件工程师,35-60K·14薪,本科,"岗位职责1.负责机器人算法，用户图形界面的开发和实现2.负责机器人算法在仿真或硬件上测试以及维护3.与机器人工程师、AI 工程师、机械工程师、测试工程师以及机器人密切协作职位要求1.计算机、电子信息、软件或自动控制等相关专业本科以上学位2.出色的的C++或python编程和算法实现能力，熟练掌握常见的OOP的设计模式和软件工程的基础3.具有出色的代码风格和质量意识，熟悉常见的git, CI/CD开发流程4.具有一定的跟机器人相关的开发经验，相关机器人平台例如（不限于）无人车，无人机，机械臂或服务机器人等5.具有出色的分析问题和解决问题的能力，对发现和解决具有挑战性的问题充满激情6.具有出色的学习能力，执行力，和解决问题的能力加分项：a.机械臂相关算法开发经验，例如关于6轴/7轴机械臂运动学建模，轨迹优化，视觉算法，特征提取等b.熟悉Linux开发环境和至少一种构建工具，如Bazel，CMake等c.满足以下一个或多个条件，包括但不限于：i.了解基于图搜索的机器人路径规划算法，如RRT、 PRM等ii.了解基于优化（线性规划，二次规划）的路径规划算法等iii.了解基于FCL、PQP等碰撞检测iv.了解机器人仿真软件例如Drake，MuJuCo, Bullet, Flex 或 Gazebov.具有出色的英文阅读能力，能快速跟踪学习并实现最新算法",深圳南山区同方信息港C栋
广州三晶电气股份有限公司,高级控制软件工程师,50-80K·15薪,本科,"岗位职责：1、新增逆变器项目软件开发。2、控制算法优化及新能源产品软件优化。3、逆变器控制软件维护及调试。职位要求：1、本科6年以上，硕士4年以上学历，有电力电子，大功率变换器控制类项目研发经验。2、熟悉C语言开发，至少有过一种主流系列单片机编程经验。3、熟悉锁相环，并网控制，离网控制等算法,有并机和分相控制经验者优先。4、理解矢量控制、掌握建模技术、传递函数推导及闭环系统设计分析验证，熟悉逆变器的环路设计，数学模型建立等基础性工作。5、具有一定的电路调试能力和经验，有分析和解决问题的能力，有大功率UPS、光伏逆变器、储能PCS开发经验者优先。",无锡滨湖区中皓科创·华发传感科技园601
亿次网联（杭州）科技有限公司,高级存储软件工程师,30-60K·14薪,本科,职位描述：岗位职责：1、负责公司分布式存储软件的需求分析、设计、实现和维护；2、负责后台接口的设计与开发，完成相应功能；3、参与项目需求评审、编写产品设计、开发文档等。岗位要求：1、精通C/C++/golang/rust，基本功扎实2、善于沟通，具有团队合作精神，执行力强。3、***本科以上学历，软件、计算机、通信工程专业优先。附加信息：候选人加分项：ceph gluster minio 文件系统工作时间：周末双休,深圳宝安区万庭大厦3幢803A
超威半导体（上海）有限公司,人工智能计算平台软件开发工程师,30-55K·13薪,本科,"Machine Learning Expert?THE ROLE:You will be working as part of the global Custom Software Engineering?team to design and maintain the graphics device driver and other software components,?design custom software solutions & POC for AMD’s customers by leveraging advanced technologies like artificial intelligence across a wide variety of different use cases. You will work with different function teams?across the world and provide AMD’s solution to customers.?THE PERSON:You should have a strong technical background both in programming (with C++), ?broader knowledge of machine learning, and system-level understanding.? And have the enthusiasm to?design artificial intelligence software to help our customers overcome challenges with deployments of AI models on next-generation AMD platform, and to leverage that experience to make AMD’s products even better.?KEY RESPONSIBILITIES:* Work as part of the global Custom Software Engineering?team to design?the solution, POC, custom drivers for AMD’s customers.* Specify, design, and implement new ASIC and?custom AI?software features.* Coordinate closely with peers in both Asia and North America to ensure timely and effective communication of all assigned work activities.* Represent AMD software occasionally to be customer-facing, for technical?design investigation.?PREFERRED EXPERIENCE:* Experience with deep learning frameworks such as PyTorch, Tensorflow, Keras* 6+ years working experience in machine learning or statistics (or equivalent research experience)* Strong software development experience in languages such as Python, Java, C++, Scala,?C#* Experience in Low-level programming of hardware devices is preferred* Architecture in both kernel & user modes is a plus* In-depth understanding of PC?&?Operating System architecture* Good software?design capability?and hands-on knowledge* Good verbal and written communication skills* Good team works* Self-motivated, strong initiative, can work under moderate to minimal supervision",上海浦东新区凯瑞大厦1层
小米科技有限责任公司,新业务部-Linux软件开发工程师,30-60K·15薪,本科,岗位要求：1.      计算机、通信、电子、自动化或数学等相关专业本科及本科以上；2.      精通C/C++编程，熟悉JAVA/python等；3.      熟悉Linux驱动模型，熟悉Linux kernel中断处理流程，熟悉Linux DTS，ACPI机制；4.      熟悉Linux kernel重要驱动模块开发，如UFS，SD，NVMe，EMMC等一种或几种Block设备驱动为加分项；5.      熟悉Android Hal层开发；熟悉Android framework层，HAL层以及Kernel Driver的垂直开发；6.      深入理解Linux内核，熟悉内存管理，进程管理和文件系统中的一个或几个子系统优先考虑；7.      有开源社区经验，ACM比赛经历优先考虑；岗位职责：1.      负责Linux Kernel升级，裁剪以及开源Patch引入；2.      负责Linux Kernel重要驱动模块开发；3.      负责以下1种或者几种：a)      负责文件系统及Block-IO层驱动开发与性能优化，有MQ开发，调试经验优先考虑；b)     负责内存管理子系统优化，有大内存申请性能优化，内存压缩优化经验优先考虑；c)      负责进程调度性能优化，移植，开源patch引入等工作，负责CFS，EAS等调度算法优化；4.      负责Linux系统性能，优化系统资源管理与调度，解决产品痛点，攻坚技术困难。,上海浦东新区5G未来中心/
上海云骥智行智能科技有限公司,autosar bsw软件工程师,30-60K,本科,1、本科或以上学历，计算机、通信工程、电子信息技术相关专业2、精通C/C++程序设计语言3、有单片机软件开发经验，一年以上CAN总线相关软件开发经验。4、良好的英文基础，能看懂英文资料5、有汽车电子/车载行业开发经验者优先6、熟悉CAN2.0标准者优先7、熟悉OSEK直接网络管理标准者优先8、熟悉AUTOSAR软件架构的优先9、熟悉ISO15765、ISO14229协议的优先,上海闵行区漕河泾浦江科技广场16楼
深圳市道通科技股份有限公司,DSP软件工程师/专家/总监,30-60K·15薪,本科,工作职责： 1.负责新能源电动汽车充电桩模块电源开发（模块功率等级15-30kW）或储能产品开发； 2.负责电源产品或电力电子变换（AC to DC， DC to DC各类变换器）相关技术研发； 3.分析与解决技术问题、应用新技术、达成专案目标； 4.带领研发团队，执行项目规划，与合作部门沟通、协调、进度控制并达成目标； 5.按照设计流程完成产品设计并导入生产；任职要求：1.电力电子、控制、电力系统自动化、电机等电气工程相关专业2.掌握电力电子各拓扑 熟悉单相PFC 三相PFC 全桥变换器 LLC变换器buck变换器等； 3.深入了解功率变换理论和技术，深入了解控制理论在功率变换中的应用； 4.通信电源、服务器电源、直流、交流电源等电力电子产品开发经验；,深圳南山区彩虹科技大厦Autel
跃氪智能科技（上海）有限公司,高级软件工程师(BSP/IoT),50-60K,本科,"你的主要工作/岗位职责：1. 负责Nvidia Jetson平台, 包括驱动开发, 脚本维护, 系统优化及平台升级等2. 负责Android平台, 包括驱动开发, 功耗/性能优化, 稳定性/安全性实现等3. 负责IoT平台云端开发与边缘设备agent开发我们希望你/任职要求：1. 精通Linux Kernel2. 精通C/Java3. 熟悉Java后端开发(Spring)4. 熟悉常用数据结构与算法5. 五年以上Linux内核开发经历若你具备下面的能力/经验更佳1. 英语外企工作经验2. 留学经历3. 信息学相关竞赛获奖经历4. Github 100+ stars repo owner5. 参与过Linux kernel相关开源项目6. Jetson相关开发经历",上海长宁区BOCE大厦3座303
上海赏猎企业管理咨询有限公司,汽车电子软件工程师,35-55K·14薪,本科,1、负责整车LIN/CAN/Ethernet的诊断规范和协议制定；2、负责整车电气配置代码、标定匹配、下线流程的设计开发及验证；3、负责各ECU的诊断功能设计验证；4、负责ECU的程序刷写设计验证；任职要求：1、本科及以上学历，汽车电子类专业；2、具有汽车以太网诊断开发3年以上经验；3、熟悉汽车诊断标准；4、熟练使用CANoen/Can alyzer/Vspy/C、capl语言。,宁波鄞州区高新区研发园C6
浙江大华技术股份有限公司,C++软件工程师(应用方向),30-60K·14薪,本科,"1. 岗位职责(SE方向)：        1) 负责无线、交换机、路由器、网管平台、IOT网关、防火墙等产品的【服务端应用】需求分析、方案设计、模块设计、开发、验证、发布        2) 负责已有产品的维护，需求定制2. 任职要求：        1)  精通C/C++，熟悉STL        2)  熟悉数据结构，计算机网络；网络编程，多线程编程；熟悉TCP/IP协议栈；了解设计模式        3)  熟悉gdb、wireshark、svn等开发调试工具        4)  熟悉Linux开发调试环境，熟悉基本命令；        5)  逻辑思维清晰，学习能力强        6)  拥有一定的团队合作意识，及沟通能力        7)  具备一定的软件架构和软件重构能力，具备良好的设计开发交付自测质量能力3. 特别说明(产品线快速发展中，机会多多)        1) 有无线、交换机、路由器、网管平台、IOT网关、防火墙等产品开发经验、或网络操作系统开发经验优先        2) 有引入新技术、对产品重构经验的优先        3) 对MVC、RPC、SOA、微服务架构、IoT架构有较深认知的优先        4) 有应用态的内存泄露、Socket泄露、死锁定位及解决经验的优先        5) 有多进程(nginx, ubus)通信经验者优先        6)  能力突出者待遇可面议",杭州滨江区怪兽充电(浙江大华技术股份有限公司滨安路)1199号
小华半导体有限公司,高级/资深软件工程师（工具）,35-60K·14薪,本科,"岗位职责：1.	汽车MCU生态相关上位机工具软件开发，包括集成开发环境、编程工具、代码生成工具、配置工具、模型工具、诊断工具，以及各种自动化脚本等；2.	参与汽车电子参考方案和客户产品的设计开发和测试；3.	按照公司汽车电子产品开发流程开发相应的系统产品或软件模块，并输出相关文档；4.	拜访客户进行需求收集和分析，产品和方案推广，对客户提供技术支持。任职资格:   1.	电子工程或嵌入式软件相关专业本科及以上学历；   2.	硕士8年以上，本科10年以上汽车MCU生态相关软件开发经验； 3.	能够独立完成MCU 集成开发环境、编程工具、代码生成工具、配置工具，模型工具、诊断工具等上位机软件开发；4.	精通C，C++，或python 等编程语言；5.	熟悉Eclipse体系架构，具有相关插件开发经验；6.	代码编写规范，具有良好的沟通和文档编写能力；7.	CET-4以上；  8.	高度责任感、使命感，具有良好的沟通能力和团队协作能力。",成都武侯区长虹科技大厦(天府四街)B座14楼
北京昇启科技有限公司,自动驾驶软件工程师,40-60K·15薪,本科,工作职责:1. 负责自动驾驶系统集成，包括软件开发，移植，部署以及调试，硬件接口集成；2. 协同自动驾驶算法研究人员， 负责自动驾驶相关算法模块在实车上的软件部署和调试3. 负责自动驾驶系统架构职位要求:1. 本科及以上学历，计算机、车辆、自动化、机械等相关专业，具有相关行业从业经验2. 熟练掌握C/C++语言，掌握现代C++标准库和常用扩展库的用法；熟悉现代主流的C++设计模式，有良好的代码风格和编程习惯3. 精通Linux环境下的开发，熟练掌握各种调试手段和工具4. 具备自动驾驶相关的工作背景，熟悉Apollo或其他自动驾驶系统，愿意学习相关知识和算法；5. 优秀的沟通能力和团队合作能力加分项1. 有一个或多个自动驾驶相关项目落地经验者优先2. 在自动驾驶行业内有工作经历者优先公司特点： 1、昇启科技是一家聚焦于人工智能与自动驾驶的初创型团队； 2、昇启科技2021年11月成立，旨在开发具有完全自主知识产权的工业软件，应用于高级别自动驾驶和智能控制领域，为复杂工业控制对象提供先进人工智能解决方案，加速中国智造升级转型； 3、公司孵化于清华大学，有十余年自动驾驶研究经验。核心团队成员来自清华、浙大等高校，其中更有来自清华大学的三位智能网联汽车领域的重量级专家教授加盟担任公司科学家顾问，与牛人为伍，与行业精英相伴； 4、务实、坦诚是公司自上而下的管理以及行事风格，沟通简单、直接，直面问题，持续改善； 福利待遇： 1.公司有应届生落户指标，可协助办理落户，入职全额缴纳五险一金； 2.通讯补贴，交通补助，节日礼品，年度体检，娱乐旅游以及趣味比赛等各类团建活动； 3.公司注重员工自我成长，设立学习基金，校企合作（清华讲座研讨交流）等；4.年绩效奖金+期权激励，公司对每一位贡献突出的员工长期开放激励。,北京海淀区静淑苑路2号楼2层207号
深圳普联网络科技有限公司,资深多媒体软件工程师,30-60K·13薪,本科,职位描述1、对所负责的项目模块进行详细设计；2、负责音视频产品的关键技术点的研究与实现；3、可独立完成各模块功能实现，并完成各模块集成 ；4、负责单元测试和自测，参与代码走读和代码评审任职资格1、计算机、电子、通信、自动化相关专业，本科以上学历，5年以上工作经验。2、精通C/C++语言，熟悉内核开发接口，具有优秀的编码能力；3、5年以上Linux平台开发经验，并熟悉FreeRTOS/uCOS等嵌入式系统；4、熟悉Linux编译系统，有Shell和Makefile编写经验。5、至少熟悉一种其他Linux衍生系统或发行版本（如Android，Ubuntu）开发；6、有ffmpeg，ALSA，AudioDSP，OpenGL开发经验者优先；7、熟悉音视频编码解码流程（H.264、H.265、Mpeg-4等），具备RTSP、RTMP和GB28181开发相关经验 者优先；8、动手能力强，具备独立解决问题的能力；9、具备良好的沟通能力和团队协作精神。,深圳南山区威盛科技大厦8楼
上海映驰科技有限公司,C/C++软件工程师,60-90K·13薪,本科,岗位职责：1.调研前瞻市场需求，开发需求形成技术原型输入； 2.对前瞻技术进行快速的原型验证，并给出验证结论，报告； 3.承担中间件系统服务模块产品功能开发。结合平台特点，提供可靠，稳定，易用的智能驾驶系统服务，其中包括：诊断，日志，监控，配置，存储等等系统服务； 岗位要求：1.全日制本科以上学历，计算机或相关专业；2. 有过2个以上子系统（功能）设计经历； 3. 有良好的编程能力，熟悉C语言，并行开发；【职位问答】 · 此职位需要应聘者有哪些技能/工具？C++、C语言 · 您希望应聘者有以下哪些优势经验？计算机相关专业、C++服务端开发经验、大数据项目开发经验,上海徐汇区美奂大厦中山南二路107号裙楼1-2楼
中软国际科技服务有限公司,高级C++软件工程师（熟悉CAD）,30-60K,本科,岗位职责：1. 负责公司产品的研发工作，包括：功能设计、原型开发、编码实施、模块测试等；2. 利用面向对象方法，代码重用等原则对项目代码进行优化；3. 编写软件产品开发文档，包括需求分析、功能定义、软件架构和模块定义等；岗位要求：任职资格：1.硕士研究生及以上，计算机/软件工程/机械等工科专业；2.精通C++，至少有8-10年以上C++开发经验，精通MFC或Qt，具备丰富的windows/linux应用开发经验；3.有大型应用软件开发经历优先；4.具有优秀的沟通和表达能力，团队合作精神，有高度的责任心；5.具有CAD/CAE软件开发经验优先考虑，如ACIS/Parasolid/CGM/OCC、HOOPS/VTK、约束求解、机构运动仿真、有限元分析等；6.具备良好的英语读写能力，英语六级。,上海徐汇区枫林科创园宜山路700号枫林科创园B2座601室
广州市百果园网络科技有限公司,基带&通信协议软件工程师,30-60K·16薪,本科,"岗位职责：1、负责基于3GPP（LTE）以及Wifi等通信系统基带软件开发和协议软件，根据产品需求，开发各种功能特性，并看护移植和维护等工作；2、协助测试领域进行产品的系统集成测试，看护产品软特性任职要求：1.通信工程、信号处理、电子工程等相关专业本科及以上学历，3年以上工作经验；2.对无线通信系统和信号处理有深刻理解，有LTE、Wifi相关协议开发经验，如cell search, decoding, 信道估计，MIMO处理等；3.熟悉4G/5G物理层处理相关的3GPP协议，或者Wifi联盟的框架协议；4.熟悉O-RAN架构和协议、eCPRI接口、小基站FAPI接口，并具备相关项目开发经验者优先；5.具有良好的编程规范，工作习惯，文档撰写能力和呈现技巧；有TI/Freescale等DSP编程经验和调试技能优先；6.熟悉某一种嵌入式操作系统下的物理层程序开发，比如Linux/ucos-II/OSE等",广州番禺区BIGO基盛万科大厦C栋西塔内
炯熠电子科技（苏州）有限公司,EMB电控制动软件工程师,35-55K·14薪,本科,岗位职责：EMB整车控制算法及电机控制算法、EPB算法开发及测试：需求分析； 逻辑策略制定；算法及建模实现；仿真工具链搭建岗位要求：1、全日制公办本科或以上学历，车辆工程、自动化、电力电子、软件等相关专业；2、熟悉使用Simulink建模及代码生成；熟悉MAAB建模规则；3、熟练使用C语言，具备较强的编程能力和良好的编程风格； 4、有汽车嵌入式软件开发经验；5、独立的开发和解决问题能力，良好的团队协作沟通以及承压能力；6、有制动电控软件开发经验者优先；7、有ISO26262的功能安全以及ASPICE相关的软件开发经验者优先；,上海嘉定区汽车·创新港23号楼1单元
深圳市南方硅谷半导体股份有限公司,多媒体软件工程师（ISP）,35-60K·13薪,本科,"职位描述：岗位职责：1、负责ISP相关的驱动开发和图像调优工作2、负责ISP、Camera相关的算法集成、调试和优化（包括3A算法，图像去噪，纹理增强，对比度控制，颜色管理等）3、负责将相关图像和视频算法产品化以及ISP子系统的功耗、性能的优化任职要求：1、	本科及以上学历，计算机、光学、自动化、电子、通信及相关专业2、	熟练掌握C或者C++，具有扎实的编程基本功，有camera或ISP开发经验3、	熟悉camera/ISP的driver/Framework架构4、有以下经验者优先：(1)	有带ISP的SOC平台的开发经验(2)	有功耗、性能优化经验(3)	熟悉相机相关器件原理(4)	有图像处理/计算机视觉开发经验",北京朝阳区北美国际商务中心K2303
昆山鸿图电子有限公司,嵌入式高级软件工程师,40-70K,本科,软件工程师岗位职责：1、负责并、离网逆变电源、太阳能充电器（MPPT）、BMS的软件开发；2、根据项目要求进行程序代码设计，最终和硬件工程师完成系统既定功能、样机调试、测试和产品优化。职位描述：1、电子、电气及相关专业本科及以上学历，特殊情况可放宽此条件；2、具有扎实的电力电子理论基础，精通模拟及数字电路、AD转换技术及测试技术，会使用画图软件Protel/AD等；3、熟悉并、离网逆变电源的控制、太阳能充电器MPPT的控制、还有锂电池BMS保护系统等，熟悉ST、东软等单片机；4、具有4年以上DC/AC逆变电源、太阳能充电器、BMS或其他相关电源产品软件开发设计经验；5、有从事逆变电源、UPS电源、光伏逆变电源、变频器、太阳能充电器行业经验优先。薪资待遇：40-100W年薪经验要求：5-10年学历要求：本科及以上，硕士优先公司地址：江苏昆山,苏州昆山市逢星路五九九号财博工业园逢星路599号四栋二楼
中科创达软件股份有限公司,MCU软件工程师(A92409),28-55K,本科,"职位描述：1.负责驱动的开发、优化, 包括但不限与PHY/PMIC/CAN/LIN/SPI/ETH/I2C等。2.负责MCU的功能软件集成，集成调试, 软件维护及版本管理。3.负责MCU相关文档的编写（如需求分解，软件架构设计，单元模块详细设计等。4.负责AUTOSAR软件开发, 进行MCAL(CAN, SPI, I2C, PWM, IRQ等), BSW(OS, COM, DIAG, NVM, XCP, NM等), RTE的配置开发。职位要求：1.本科及以上学历，车辆工程、软件、 计算机或者电子类相关专业。2.熟练使用C/C++语言，具备良好的编程风格。3.基本硬件原理图理解能力。4.基本测试设备(CANoe, CANape等)，示波器, 分析仪, 调试器等使用经验。5.熟悉AUTOSAR规范和架构，熟悉1个以上AUTOSAR协议栈。6.具有1年以上AUTOSAR软件设计和开发经验。7.具有3年以上软件开发工作经验。[优先条件] 熟悉汽车嵌入式系统软件开发，有ADAS, APA等产品开发经验优先。[优先条件] 熟悉ASPICE汽车电子软件开发流程优先。[优先条件] 熟悉ISO26262，功能安全规范及开发经验。[优先条件] 熟悉ISO21434, 信息安全规范及开发经验。[优先条件] 熟悉SOMEIP, DDS等通信中间件及开发经验。",上海嘉定区汽车·创新港15号1单元
广东美的制冷设备有限公司,光储软件工程师,30-60K·15薪,本科,岗位职责1.负责光伏逆变器、储能系统控制软件开发； 2.负责软件系统方案和产品功能实施方案的设计； 3.负责产品控制算法和驱动层代码的编写、调试； 4.负责追踪项目生命周期中出现的软件问题； 5.负责产品性能优化和可靠性提升。6、完成软件详细设计：软件设计说明编写、流程图绘制、代码编写、单元测试、集成测试等能力；7、承担软件开发的技术积累，标准化模块化等工作，负责软件产品的维护和技术支持，协助完成产品系统设计等；8、编写单元测试计划和测试用例，对代码进行单元测试和模块集成测试；9、根据产品开发项目计划，参加产品开发各阶段的技术评审。任职资格1、电力电子、电气自动化、计算机、软件工程、机电、电子信息等相关专业2、 精通C语言，熟练使用KEIL、CCS等开发软件，能够熟练应用ARM或者DSP芯片，熟悉常用的串口通讯机制;3、具备软件工程基础知识，并拥有独立、规范地开发产品软件的经验;；4、具备逆变器、DCDC变换器等产品控制系统开发经验， 熟悉逆变器控制方法和控制算法，熟悉光伏逆变器的并网、最大功率跟踪、孤岛检测等算法， 熟悉软件抗干扰设计，优先考虑;5、熟悉光伏并网逆变器DSP控制方法，或者熟悉离网/储能/UPS逆变器的控制方法和工作逻辑，优先考虑。,佛山顺德区美的集团家用空调事业部3楼
知行汽车科技（苏州）股份有限公司,BSW高级底层软件工程师-上海,30-60K·14薪,本科,"负责ADAS域控制器的底层软件开发工作，主要包括MCU域的AutoSAR相关软件开发，比如诊断，通信，故障管理，降级管理，存储管理等，核间通信，OTA升级管理等。对软件开发深入理解，确保客户项目按时保质的交付。主要职责：?	ADAS域控制器软件开发?	MCU域的AutoSAR软件开发；?	基于CAN，FR或者ETH的通信协议栈软件开发，支持UDS和OTA功能?	故障诊断，系统降级，诊断通信等功能软件开发?	存储管理，OTA升级等功能软件开发?	对客户和内部测试部门测试出来的软件BUG，进行修复?	内部流程?	根据客户及系统需求，结合软件系统架构，生成设计文档?	根据需求和设计文档，进行软件开发的开发和优化?	配合测试规划，完成软件及其相关的测试?	新平台开发及平台维护?	根据公司战略，完成新平台的BSW软件开发?	根据开发需求，不断优化软件架构?	根据其他项目的BugFix列表，修复平台软件问题职位要求?	5年以上底层软件开发经验，汽车电子底层软件开发经验优先?	熟悉AutoSar软件架构，并具有相关开发经验?	精通C/C++语言，熟悉汽车电子软件开发流程?	熟悉CAN/CAN-FD/Ethernet网络协议以及诊断协议?	熟悉CMMI/ISO26262/ASPICE等的可以优先考虑?	熟悉测试分析工具：CANoe, CANalyzer, CANape等?	有AutoSAR和TDA４开发经验优先?	有软件测试经验优先?	优秀的团队合作和沟通技巧?	基本的英语沟通能力",上海嘉定区智能网联新能源汽车创新孵化中心805室
展讯通信（上海）有限公司,底层软件工程师（Team Leader）,35-60K·15薪,本科,工作职责1、内核方向：负责整体Linux kernel问题的处理方案制定，包括kernel启动，内存管理，进程调度，文件系统，IO优化等；2、驱动方向：负责Linux驱动模块的开发、调试、验证、优化和问题分析处理，带领团队完成驱动模块的全面交付；3. 负责产品平台问题的分析解决以及客户支持；4、统筹部门流程建设，按照公司流程输出高质量的技术文档和代码。任职要求1、计算机软件/通信/电子相关专业本科及以上学历，10年以上Android/linux相关内核、驱动工作经验；有至少3年以上团队管理经验；2、熟练掌握/C/C++，熟悉Java、脚本语言，在数据结构、算法、软件设计等方面具有扎实的技术功底；3、熟悉操作系统原理，熟悉Linux kernel，有文件系统和IO开发经验者优先；4、熟悉ARM架构、懂硬件工作原理，有LINUX 驱动开发 、调试及驱动问题分析经验或内存分析、功耗优化经验优先；5、需要具备英语听说能力，能够熟练阅读协议规范和技术文档。,深圳南山区弘毅大厦1
深圳市速腾聚创科技有限公司,自动驾驶平台软件工程师,30-60K·15薪,本科,任职要求：1. 本科以上学历，3年以上软开工作经验；2. 具备扎实的编程能力，熟悉Linux下开发调试，熟练掌握C/C++编程语言，熟悉多线程、多进程等并发技术；2. 至少掌握以下技术栈之一：  1. 熟悉桌面端工具开发，熟悉常用的Qt，OpenGL，有2D/3D界面交互开发经验；  2. 熟悉数据后台链路优化，例如数据入库、转运、挖掘提取等；  3. 熟悉图像和视频流处理加速，熟悉FFmpeg，OpenCV等；3. 加分项：  1. 熟悉自动驾驶数据闭环工具链，有相关开发落地经验者优先；  2. 熟悉cuda、有跨平台部署优化经验者优先；  3. 熟悉Python、shell、JavaScript等脚本语言优先；,深圳南山区众冠红花岭工业南区2区9栋5层
哲晰软件技术（上海）有限公司,自动驾驶软件工程师,30-60K,本科,"Autonomous Driving Software Integration Engineer Job Description?The company:Zenseact is an autonomous driving software powerhouse on a mission to develop groundbreaking AI and software eliminating collisions in traffic and freeing up time for our users around the globe. Zenseact is deploying its OnePilot autonomous driving service on our lead customers’, Polestar and Volvo Cars, a coming vehicle platform that carries game-changing compute and sensing technologies never experienced in the Automotive industry. Zenseact China’s mission is to develop and deploy Zenseact’s OnePilot autonomous driving software service for its lead customers Polestar and Volvo Cars in the Chinese market and drive the commercial expansion to other innovative carmakers in China.?Zenseact is built on the inventors of Active Safety from the early 1990s and is elevated with highly skilled AI and Software Engineers from other software-oriented sectors. Today, we are a team of 600+ highly ambitious Engineers based in Shanghai, Sweden, and Silicon Valley sites.?Job Description:In order to deliver key China programs with partners, we need integration engineer to provide onsite hands-on support on integration related work to ensure Zenseact autonomous driving software is working well on customer vehicles together with partners.?The high level overall scope includes:l? China technical interface for software integration related topics, with close collaboration with Sweden development team.l? Direct interactions with China partner for technical topics related to vehicle demo/software integration work.l? Provide hands-on support for software integration toolkit adaption, delivery and debugging work towards partners.l? The scope may evolve as we progress further with China programs. l? Support other related tasks when needed – such as China business development activities with partners/OEMs. ?Everyday tasks likely to include: l? Python (basic scripting)l? Configuration of build system (Bazel)l? Linux (software can be deployed on NVIDI",上海嘉定区沃尔沃亚太区(总部)3层
北京小米移动软件有限公司南京分公司,可穿戴系统软件工程师,35-65K,本科,"[岗位职责]1. 负责小米可穿戴设备OS的bringup/系统基础功能/稳定性以及上市后的用户反馈, 保证产品的研发进展和软件质量2. 负责可穿戴领域的OS/系统软件层面的前瞻性预研, 包括wearos/RTOS(FreeRTOS, Zephyr, Nuttx，LiteOS)/etc,打造体验一流的可穿戴设备软件基础平台3. 支持工厂生产和解决工厂生产中遇到的各种问题,并提出改进方案4. 负责memory/Nand Flash/SPI Flash/EMMC模块5. Log tools/debug tools工具开发和内部集成6. 支撑集成手表的文件系统和对应的bugfix，对应的FS技术演进，如FatFS等。7. 支持OTA全量/差分feature的设计和实现8. Optional:负责马达震动相关的功能集成和调试[任职要求]1. 3年以上系统相关工作经验,看好可穿戴设备的发展前景2. RTOS(FreeRTOS/LiteOS/NuttX/ThreadX)系统原理/bringup/集成经验者加分3. 能看懂硬件原理图,有一定的软硬件协同分析能力者加分4. 有Android底层相关开发经验者加分5. 有责任心,较强的沟通协作能力,有钻研精神,一定的抗压能力6. Owner心态,对完成卓越产品有追求。",南京建邺区小米南京分公司科技创新综合体
思源电气股份有限公司,主任软件工程师（嵌入式）,35-55K·16薪,本科,岗位职责：1.   主持系统及相关产品需求分析及嵌入式软件方案设计；2.   主持嵌入式软件平台技术前瞻性研究，关键技术的演进攻关；3.   承担公司PDT/LMT产品项目开发中嵌入式软件方向的研发工作，能够独立完成软件方案详细设计、编码、调试、文档编写等，对模块开发进度和交付质量负责；4.   参与制定设计及实现规范，编写设计规范，CBB公用模块提炼，进行设计技术积累；5.   参与公司老产品的质量改进工作，及各种检测、认证工作；     任职要求：1.   本科以上学历，电力、电子、自动化、计算机等相关专业； 2.   有3年以上软件架构设计经验；3.   熟悉嵌入式操作系统原理；4.   精通C语言，熟悉C++语言/编译脚本/代码静态检查方法和工具等；5.   熟悉OSI 7层协议，熟悉IP协议及其编程；6.   有电力行业或通信领域嵌入式架构设计经验者优先。,南京雨花台区中兴物联研发大楼南京市雨花台区花神大道90号中兴物联研发楼
"
巨卓美亚
",感知软件工程师 -- Infra,70-95K,本科,1.       设计高效可靠的深度学习模型，在几十毫秒内精确检测和跟踪车周围200米之内所有的障碍物（人，车，非机动车辆，交通锥等），并对场景进行理解  2.       如何设计一般性的模型和算法去处理各式各样的长尾情况，如路面上的垃圾袋，洒水车的水花，前车掉下来的挡板  3.       如何保证感知模型和算法在极端的环境里的准确性和可靠性，如大雨，大雪，雾霾，风沙等  4.       把模型优化到极致，让十几个到几十个模型在车上有限的计算资源上欢快的运行  5.       如何搭建一个高效可靠的计算框架，支撑一个周期内接收几十个传感器的输入，做各种同步融合，并进行几十个深度学习模型的推理    要求：- 丰富的Linux/Unix系统C++、Python开发经验，熟悉多线程，内存管理，泛型，及设计模式.  - 对于大数据的基础架构有深刻的理解，如流式数据处理架构等  - 能够独立思考，具有良好的沟通能力、判断力、数据分析能力、执行力，自我驱动；  - 有较强的沟通协调能力，能够很好的组织协调多部门将方案推进落地   加分项：  - 具有分布式系统相关项目经历，复杂系统软件的设计能力和调试能力，熟知常见的设计模式和架构的trade-off；  - 熟练掌握一种机器学习引擎框架，如TensorFlow、PyTorch等  - 熟悉GPU体系架构，精通CUDA，精通cuDNN，在深度学习计算框架等领域有丰富优化经验者优先；  - 熟悉模型训练各optimizer基本原理，了解分布式训练基本方法与框架；对于最新训练加速方法有所了解，例如混合精度训练、低比特训练、分布式梯度压缩等,北京昌平区首开广场(回龙观东大街)首开广场1号院
