公司名称,职位名称,薪资,学历要求,职位描述,
武汉云创未来科技有限公司,百万年薪招负责人/开拓新城市,50-60K·13薪,大专,"寻找:看好“双碳”，认可节能节电行业，对自身能力有信心,想实现自身价值和高收入的人。工作内容负责所在城市的产品销售与渠道推广，分公司建立，团队组建，经销商招募与管理。任职要求1具备独立的商务谈判能力2具备一定的行业资源或人脉圈3较强的资源整合与组织协调能力4三年以上团队管理经验5有创业经历优先考虑薪资构成:通过公司考核后总部提供资金支持你组建分公司团队，享受底薪+日常补贴+高比例提成+股权分红 挑战月入十万起特别说明:我司三十余年配电节电经验，开创节能行业新纪元，技术领先。现单独成立节能板块，全力抢先布局蓝海市场、万亿规模。我司通过自主研发及国内外节能技术,拥有多项技术发明专利。公司集生产研发于一体，旨在为商业、工业、市政单位提供全套的节电方案。公司掌握领先的节电技术系统并不断迭代更新，本公司研发的第六代的综合智能节电保护装置,节电率可达6%--35%之间,远高于同行。单个项目金额从几十万，几百万至几千千万，并为终端客户提供销售、能源合作、融资租赁等多种合作模式。目前已应用在全国各个行业,效果显著,得到各企业的青睐和政府单位的认可。",武汉黄陂区五洲国际建材城Y区401411
江苏四维智能科技有限公司,事业部负责人,30-60K,大专,一、岗位说明该岗位可以与各事业部资源深度整合，独立承担区域（城市）负责人/总经理、或单独业务条线的全面运作，按个人能力和实际绩效定薪，上不封顶。二、岗位职责1、承担事业部项目商业化的拓展推广。2、寻找意向客户，与客户进行沟通、销售，挖掘客户需求；3、带领团队开拓市场、制定营销方案、商务洽谈、为客户提供精准服务；4、撰写调研报告及客户解决方案，分析客户的心理需求，制定行之有效的服务策略；5、做好目标客户资源的收集、整理、归档工作，实现客户信息资源的有效开发利用；6、完成业绩目标。负责事业部的日常管理、战略规划、人员绩效及市场运营等全面工作。三、任职资格1、大专以上学历，专业不限，有相关业务领域的工作经历；2、具有一定的行业资源背景和客户资源，具备敏锐的市场观察力、卓越的分析判断能力；3、具备较强的市场开拓、客户沟通能力，较强的沟通技巧和团队管理能力；注重效率，能适应高强度、快节奏的工作环境，有激情，有强烈的团队协作意识；4、能够承受较大的工作压力和销售业绩要求；5、沟通能力强、能从容应对高层谈判和中、大规模培训，组织大型交流活动；6、有独立营销和成功带团队经验；7、有创业经历者优先。,南京玄武区新世界中心SV-LIFE
北京鑫盈信息咨询有限公司,金融信贷专员,35-65K,大专,1.负责公司产品的销1.受理公司网络上的客户申请（公司提供资源，百度腾讯阿里战略合作伙伴）2.了解和分析客户情况，制定融资方案3.进行客户的邀约、谈判、签约，跟进后期手续的办理；4.为客户提供优质的贷前、贷中及贷后服务，促进二次成交。任职资格；1大专以及以上学历，有销售岗位的工作经历，业绩优秀；2.良好的沟通以及执行能力，有勇气挑战业绩目标；3.工作积极主动，有较高的责任和良好的职业操守；4.特别优秀者可放宽学历要求售及推广,北京朝阳区富尔大厦31楼3109室
湖南京临轩餐饮管理有限公司,副总裁/副总经理/VP,90-120K,大专,餐饮总经理：40岁以下，男女不限，薪资面试，要求：熟悉餐饮市场以及品牌，有门店管理经验。对当代品牌，对市场有足够了解。有制定团队发展计划，制定餐饮门店工作流程，绩效考核，制定预算及销售指标。抗压力能力强，有创新能力及领导力。,长沙岳麓区麓枫和苑(西南门)麓枫和苑10栋
有米科技股份有限公司,抖音电商DAAS合伙人,30-60K,大专,一、公司简介有米科技是一家产品技术驱动的信息科技公司，提供智能营销数据产品与全球化移动营销服务，成立于2010年4月，中心业务有米云。2015年公司成功挂牌新三板并连续四年入选创新层，2017年，相继两年入选工信部中国互联网百强企业。有米建有广东省移动互联网大数据营销工程技术研发中心，以解决客户营销痛点为目标，凭借领先的智能营销技术、全球化的市场布局、精细化的运营服务，为客户提供快选品、CC数据、App Growing、投管家等智能营销数据产品、更具ROI的一站式营销解决方案，实现效率和效果的双提升，让数字营销更科学高效。二、产品介绍 有米云是有米科技用SaaS模式打造的移动营销云平台产品，拥有数据化、链条化、智能化的特点。以市场多维数据分析为基础，以解决营销人员工作痛点为目标，有米云提供一站式的移动营销全流程服务，构筑移动营销闭环，帮助企业高效完成市场行情洞察、营销决策指导、广告运营优化等工作；产品矩阵:1.快选品:新媒体电商大数据选品平台，商品数据量过亿、多维度研究爆品特征、把握选品方向，数据分析热门渠道的潜力爆品及商家推广策略，协助商家分析和选品，助力商家营收增长。2.CC数据：新媒体电商数据分析平台，通过算法分析实时追踪主流平台：抖音、快手、小红书、微博、B站电商数据情报，助力品牌和商家直播电商/社媒营销决策CC数据作为社媒营销洞察分析数据产品，通过ASR、OCR技术智能化分析媒体内容，解读营销热点，透析KOL及粉丝画像，用模型算法给账号“去水”，帮助新媒体营销人员实现更具价值的推广活动。3.App Growing:移动营销数据情报分析的SaaS数据平台，80+主流流量平台数据、70+行业智能细分，追踪广告量级过亿、1w+品牌、6w+应用、1w+应用开发商；全网广告文案、素材、落地页等投放数据的分析追踪，帮助商家提升投放效率和转化率 。4.投管家：投管家能综合管理跨流量平台的广告投放数据，一键登录多个广告账户，告别繁琐的登录流程；一站查看所有账户数据，汇总分析一目了然。帮助客户高效管理广告投放，提升投放效率。三、岗位要求1.自有团队（不低于3人）开展业务、市场发声，并对结果负责。2.总部协助客户售后服务和运营，销售团队深挖行业和转介绍。3.城市/区域合作、全程赋能：强培训重扶持，不需压货。,芜湖弋江区讯飞智能大厦A1719
云南凯易法律咨询服务有限公司,法务经理,80-110K,大专,"一、团队组建和管理二、网络销售（法律）1.负责拓展需要法律帮助的当事人客户,通过互联网社交平台拓展客户,微信或电话跟进客户,了解客户委托意向,积极促成诉前指导或代理合同的签订2.常轻松、稳定3.本地和全国案源岗位要求1.热爱市场/销售工作及法律行业2.工作勤奋、认真、踏实,学习能力强3.具有亲和力、沟通能力强4.具备良好的工作心态及团队协作意识5、重点：有创业思维，公司可以提供股权激励，可以成为优质合伙人！",昆明西山区云纺国际商厦C座18层
上海哈啰普惠科技有限公司,大区经理/大区总监/城市群负责人/省区经理,30-60K,大专,职位描述1、负责所在大区的整体运营和日常管理，对城市运营结果负责；2、负责区域内的工作开展，拟订并落实省区开发计划，投放、维护、异业合作；3、通过精细化运营以及渠道推广等运营手段提高本地用户的使用率；4、建立、维护所辖区域的合作关系，提供解决方案，对潜在客户进行定期跟踪。5、大区内人员招聘、培养、晋升、优化等人员管理工作。任职要求：1、至少5年以上知名互联网行业运营经验，2年以上的团队管理经验，有100人团队以上系统管理经验；2、有O2O及生活服务类行业相关经验优先，有较强的解决问题和沟通协调能力；3、具备很强的人际关系交往能力、应变能力和抗压性；4、自控力强，有责任心，有较强的抗压能力，以结果为导向；5、必须接受外派和地区调动。,南京玄武区新世界中心1805
武汉中云康崇科技有限公司,总裁/总经理/CEO,60-90K·18薪,大专,岗位职责:1.根据公司年度战略规划，负责分公司整体规划、制定年度目标，并推动执行；2.负责分公司整体营销战略体系的建设，并根据营销战略制订营销策略、计划、销售模式，分解制定相应具体的销售计划和实施方案，完成销售、回款和市场目标；3.负责分公司的品牌建设与产品推广。对市场环境、目标、计划、商务活动进行核查分析，及时调整策略和计划，制订预防和纠正措施，确保完成营销目标和营销计划；4.团队建设：负责分公司营销团队的人才梯队建设和日常管理，制定管理制度与各项业务流程，培训、考核团队成员，确保人岗匹配并做到技能达标；任职资格：1. 了解工业信息化；大专及以上学历；2. 具备较强的经营、管理、决策、分析、应变、谈判能力，商业触觉敏锐，出色的人际沟通和社会活动能力。加分项有以下行业经验：通信/网络设备·互联网·计算机软件,武汉江夏区武汉中云康崇科技有限公司4楼408
易虎网科技（集团）有限公司,城市公司CEO,50-60K,大专,1.负责易虎网蜜蜂工厂当地城市运营。2.大专以上学历，45周岁以下。3.有本地互联网渠道代理商资源，能引入代理商合作。4.有创业激情，能吃苦耐劳。5.不需要贪图安逸者。,周口川汇区周口数字产业园一号楼二楼
北京企课信息技术有限公司,CEO/总裁/总经理,30-60K,大专,"【职位】华南区负责人1.负责公司整体的年度经营指标的完成。2.负责全国分子公司建立，团队搭建，项目启动3.负责公司人才引进，人才考核，人才输出4.负责全国联营公司的管理，运营，业绩达标5.渠道合作伙伴的谈判，业绩达标6.公司资本活动的推进具体要求：1.有TOB业务从0到1到N的实战经验2.有不低于5年的企业管理经验（营销，市场）3.对职业教育，企服行业有实操经验4.有不低于100人的以上的团队以及5-10家以上分公司管控经验5.在渠道拓展，代理招商有实操经验6.有大型会销，面销，谈判实战能力7.有创业精神和职业操守，全身心投入【薪资待遇】基础底薪+岗位薪资+绩效薪资+管理奖+年终奖   优秀管理者入职可获得原始期权【关于公司】企课网--国内实效型企业学习云平台，公司致力于打造中国企业在线培训领跑者，企课网借助互联网/移动互联网助力中国3000万家中小型企业搭建自己的企业办公、人才培养平台，通过精准课程，大数据，云计算，Al人工智能有效改观传统人才培训模式的局限性，利用网络让知识与师资有效共享，让更多的中小企业在企课网的帮助下，提高企业运作效率，帮助企业实现有效的人才培养，全面助力企业战略和企业文化落地，最终实现企业利润增长！     企课网已在全国多个城市建立直营公司、联营分院，以及发展了百位合伙人服务本地企业，未来3年，企课网将在全国省会城市建立30家直营分公司，建立700多家联营分院，完成14000多位合伙人的招募，完成服务企业500万家的计划目标。在内容研发上，坚持“实效“原则，入驻实战导师5000位，研发在线实效课程10000集，合作全球顶尖大学100家，合作国内优质教育机构1000家，将最好的实效课程贡献给3000万家企业以及7亿职场精英。2020年企课网已经启动上市计划，已经与辅导跟谁学、新东方，尚德等上市的律所，会计师事务所等上市机构达成合作、为3年内上市做好护航工作过。   伟大的事业是需要一群人共同合力，才能起航，方能成功，企课网期待更多的优秀的合作伙伴与我们合作，事业同行，价值共创，财富共享。"",""           #2021年，跟随企课，一起增长加分项有以下行业经验：培训机构·企业服务·互联网金融",广州番禺区企课网·华南总部3层
