公司名称,职位名称,薪资,学历要求,职位描述,
南阳市微企胜网络科技有限公司,前端、后端实习生,2-6K,大专,1、16岁以上男女均可， 如有大专及以上学历，计算机、数学、财务类、机电类、电子类、网络类及相关理工科专业毕业优先。2、热爱软件开发行业，善于学习和总结分析；有无经验均可。3、做事认真、细心、负责，能够专心学习技术。4、有良好的工作态度和团队合作精神。5、优秀的应往届毕业生可适当放宽条件。,南阳卧龙区兴达国际D座903
贵州黔狐科技股份有限公司,前端开发实习岗,1-2K,大专,实习岗：需要有上进心，能吃苦好学，工作态度不端正的勿扰。1、需掌握html+CSS的写法，主要工作学习编辑网页模板，有资深前端工程师指导。2、运用 HTML、CSS、JavaScript 等专业技能和工具，从事网站产品的开发。,铜仁碧江区麒龙国际会展城D2栋3楼
深圳市芒果松科技有限公司,初级前端开发（实习生&应届生）,2-4K,大专,"岗位职责：1、负责Web前端开发和维护；2、编写、迭代高质量的UI组件，提高开发效率、降低维护成本。3、与UI设计师、产品经理协作，分析并给出最优的Web、移动界面前端结构解决方案和效果实现；4、持续优化前端交互体验和页面响应速度，优化代码并保持良好兼容性（不同浏览器、移动设备端及不同版本下的兼容），提升易用性；5丶与后台开发工程师配合完成数据交互、动态信息展现。任职资格：1、全日制专科以上学历，计算机专业优先2、熟悉html5/css/javascript等，有vue的项目实践经验。3、熟悉前端框架,包括jquery、vue.js、r等；4丶熟悉webpack、gulp等前端构建工具5、熟悉各种浏览器的特性，能手写屏幕适配性强、兼容多种PC或手机浏览器的前端页面代码并快速定位和解决各种兼容难题；6、良好的沟通能力和团队合作能力，肯吃苦耐劳，踏实肯干。热爱基于互联网平台的开发。福利待遇：1、公司工作环境优雅、氛围好，同事关系融洽；不定期定期团队活动，丰富员工的工作生活；2、法定假日+生日礼物+节假日福；3、带薪休假（年假，婚假，丧假，病假等）4、弹性工作制，上班不打卡，发展空间大，5、公司每周3-4次下午茶，每周1次羽毛球活；6、每月会评选优秀员工，有奖金。7、入职提供五险一金",深圳龙华区向荣商务大厦2楼2001
长春信航科技有限公司,初级Java开发工程师,2-4K,大专,岗位职责：1、根据项目具体要求，配合团队承担开发任务，按计划完成任务目标。2、完成软件系统及模块的编码并完成软件系统及模块的测试。岗位要求：1、计算机软件相关专业应届毕业生，大专及以上学历，有清晰的职业规划，意向从事软件开发工作2、有良好的团队意识，服从管理，学习能力强，能吃苦耐劳。我们免费提供岗前培训，从后端开发到前端全面进行培养，进项目组即可快速上手。转正后平均工资4500，六险一金，参与项目根据贡献度有项目奖金，公司有独立停车场，食堂，活动室，交通便利，办公条件优越。,长春南关区吉云集团3楼
上海奇杲科技有限公司,web前端,1-6K,大专,1.前端页面的制作，把具体的psd转换成网页2.熟练使用html，css，js，jq等开发语言和开发框架。3.熟练使用vue开发框架4.可以开发h5自适应网页等（本职位为远程办公，非全职）,郑州二七区正商城禧园二号院0536
上海信栖网络科技有限公司,web前端实习,2-4K·13薪,大专,***工作包住***  1、有H5，微信小程序实际项目经验，自己开发的项目也可以  2、熟练使用vue，js，html5，css  3、了解现有常用框架，如vue，react等 ；熟悉git工具 4、在校学习优秀，做事认真有态度  5、团队氛围好，都是技术出生，你愿意学我们愿意教。,上海闵行区兴迪商务大厦603
浙江星河微网能源科技有限公司,vue前端开发实习,2-5K,大专,1、参与web前端功能模块开发2、对vue框架与代码质量有基本了解3、能阅读示例代码和文档快速上手,杭州余杭区中国(杭州)人工智能小镇浙工大研究院
潮州市鲁迪信息科技有限公司,高级Web前端开发工程师,2-5K,大专,"1、公司产品web端页面的制作、开发和优化2、根据设计稿,编写静态页面和交互、特效等功能的脚本程序2、开发基于HTML5技术的可灵活定制、可扩展的前端UI组件3、优化前端架构,提高系统的灵活性和可扩展性4、开发、维护、扩展前端代码框架5、跟踪研究前沿的前端技术,并应用到公司的产品开发当中任职要求:1、两年以上工作经验,了解各种Web前端技术,对符合web标准的网站重构有经验;2、熟练掌握DIV+CSS网页布局,并且对模板化、模块化有一定理解,精通HTML/HTML5、CSS/CSS3等前端开发技术;3、熟练掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等,对javascript框架(如prototype/jQuery/YUI 等)有一定的经验;4、对css/JavaScript性能优化、解决多浏览器兼容性问题有一定的经验;5、熟悉浏览器渲染原理,精通各种前端调试工具,对页面性能和浏览器兼容有丰富的实践经验;6、理解Web标准,对可用性、可访问性等相关知识有实际的了解和实践经验;7、对用户体验、交互操作流程、及用户需求有一定了解;8、具备良好的责任心、逻辑思维强、善于交流和表达、较强的学习能力、优秀的团队沟通与协作能力。9、爱思考,沟通能力强。",潮州潮安区潮商科创产业园B601
贵州动点世纪科技有限公司,前端开发助理,2-4K,大专,有人带、双休。可包食宿。职位信息职责描述:1.协助完成前端软件系统代码的实现，编写代码注释和开发文档。2.协助进行系统的功能定义、程序设计和界面设计。3.根据设计文档或需求说明完成代码编写、调试、测试和维护。4.分析并解决前端开发过程中的问题。5.协助测试工程师制定测试计划，定位发现的问题。6.配合项目经理完成相关任务目标。7.完成上级交办的其他任务。任职要求:1.计算机、软件工程、通信工程或相关专业本科及以上学历。2.有相关项目开发经验优先。3.熟悉HTML/CSS/JavaScript等前端开发技术，熟悉至少一种前端框架，如 React、 Vue.js 等。4.了解基本的设计、优化原则，具有良好的前端性能优化能力。5.良好的团队合作精神与责任感，较好的沟通能力。,贵阳云岩区贵阳市青年人才社区赛岭公寓701
福州一瓦教育科技有限公司,前端实习生,1-4K,大专,入职要求：1.掌握基本技术基础2.很想从事IT行业，有很强的主动性3.实习时长至少一年4.能接受外派出差特别说明：本公司会对每位实习生进行体系化的培养，保证实习期满时达到合格的初级程序员能力，在此期间承诺不收取任何费用！不满足上述三点要求者勿扰。一、实习生收获：Vue及前端技术和项目实战接轨的培训一个月上手项目实战2-3个商业项目实战经验软件项目Web/APP前端开发硬实力二、工作内容1. 按照企业制定的训练方案，系统地提升技术能力；公司提供专业指导。2. 直接参与到商用实战项目，完成主管分派的软件开发任务。三、任职要求1、热爱软件开发，未来想从事软件开发工作2、想积累实战经验和技术3、掌握一定的软件开发基础,泉州丰泽区泰禾广场SOHO2座24层2409
深圳市小河狸科技有限公司,前端工程师,2-7K,大专,适合有点基础、技术有待提高且没有项目经验的新人条件：1、思维逻辑清晰，有较好的理解和沟通协助能力。2、积极上进有责任心，有毅力，能吃苦耐劳。3、学习能力强，能快速掌握新技术，对新技术保持关注和热情。4、熟悉HTML、CSS、javaScript等基础知识优先；5、接受0基础但是努力、认真的新人。,深圳南山区清华信息港-科研楼611
广西云创引力信息科技有限公司,前端开发工程师,1-2K,大专,有过小程序，VUE 类似开发经验,玉林玉州区蒙域养发(大润发店)5楼
南昌市云科信息技术有限公司,前端实习生,1-4K,大专,1、根据产品或项目需求，进行Web交互界面设计、完成兼容性良好的前端页面开发; 2、与后台工程师一起探讨制定技术方案和接口等; 3、负责前端页面优化和用户体验的设计; 4、负责相关技术文档编写。 任职要求： 1.掌握Web前端技术HTML5、XML、CSS、AJAX、原生JavaScript及相关技术； 2.精通Jquery、Bootstrap、AngularJS等扩展应用，做过HTML5游戏的优先录取； 3.对JavaScript性能、多浏览器兼容性、面向组件开发有自己的解决方案； 4.熟悉OOP，对前端代码优化及安全开发有一定的经验，能完成代码封装并熟练完成模块化开发； 5.责任心强，具备良好的沟通能力和团队合作精神有责任感，能吃苦耐劳； 6.大专及以上学历，有独立开发项目经验,南昌东湖区江西出版大厦702
南京速码信息科技有限公司,前端开发实习生,2-3K,大专,公司软件前端开发有html、js、css、vue基础,南京江宁区东风日产文华专营店(东门)院子里面2楼
遵义云讯网络科技有限责任公司,前端实习生,2-3K,大专,??岗位要求：??????1、协助web工程师做辅助性的助理工作，记录在工作当中遇到的问题并且归档；??????2、前期辅助web工程师完成相关软件的设计、开发工作；??????3、完成主管领导交代的其他相关工作。????????????1、大专以上学历，可接受应届生；18-28岁；??????2、思路清楚，有基本的编程素质，有良好的表达与沟通能力；??????3、对互联网行业感兴趣，有一定的逻辑思维能力；??????4、熟练使用相关办公软件，具备基本的网络知识；??????5、具有良好的职业道德，工作细心，责任心强技术要求：JavaScript Vuejs,遵义汇川区汇川九小桃源小区5栋
微趣软件（无锡）有限公司,前端开发工程师（实习岗）,2-4K,大专,技能要求：HTML，JSON，Less，Javascript，DIV+CSS，Vue.js岗位职责：1、负责开发公司网站产品，及移动端网站相关产品；2、与UI设计师、后端开发人员、测试人员等配合，高质量完成前端开发工作，提高用户体验，对可用性、可访问性等用户体验知识有较好的了解和实践经验；3、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率；,无锡梁溪区无锡客运(东北门)无锡市南湖大道580-1号315室
西安开拓电气有限公司,电气助理工程师,2-5K,大专,面向刚毕业或者毕业一两年的，希望从事电气自动化编程调试的年轻人，即使是零基础，也可以培养！,西安未央区西岸国际花园2703
福州万悉地网络科技有限公司,前端实习生,2-4K,大专,"1、Web前端技术（HTML/CSS/JavaScript等)，并能处理各浏览器及各设备兼容问题；2、会主流的现代JS框架，React, Angular,Vue等，会前端工程构建工具；会Vue全家桶可优先考虑；3、熟悉JavaScript、jQuery等类库、DOM等前端技术能实现网页特效和用户交互体验；4、会微信开发模式；5、熟悉UI框架的开发流程；6、具备较强的学习、分析和解决问题的能力和强烈的进取心；",福州闽侯县中青大厦7层701
西安拾久网络科技有限公司,初级web前端工程师,2-4K,大专,职位描述：1、能写出公司符合测试要求的网页2、高校门户网站建设实施任职要求：1. 计算机相关专业，专科及以上学历；3. 熟悉HTML5和CSS3，掌握响应式页面布局和CSS3动画；4. 熟练使用JQuery和常用网页特效库；5. 掌握Photoshop基本操作6. 注重对主流浏览器和低版本IE的兼容性；7. 有主动学习的能力,西安未央区恒大都市广场3-2-2802
北京中环宏图软件有限公司,前端开发,2-6K,大专,"前端开发人员，要求: 热爱前端开发，具有基础的vue,elementUi组件的使用。微信小程序基础开发。 公司有老员工以老带新的形式，帮助新员工。兼职，实习均可，薪水面议。联系电话：*****",保定莲池区侨升·裕华金街保定唤哆哆创业孵化基地裕华西路418号裕华金街3
广西杰思信息科技有限公司,web前端开发实习生,2-3K,大专,岗位职责:1、负责业务的前端代码逻辑编写，与后端开发进行接口联调2、参与需求、UX设计、概要设计、详细设计等多个环节的评审3、根据详细设计文档进行前端代码开发，参与代码评审4、负责定位或者解决线上异常问题5、抽象前端公共业务代码，形成通用的业务组件，能够为业务复用，提高开发的效率。6、完成现有系统的维护工作，完成相关的迭代优化工作；7、完成领导交办的其它任务。任职资格:1.专科及以上学历，可接受应届实习生；2.熟练掌握html5、css3、JavaScript、es6、Vue、React等前端开发技术；3.精通各大浏览器兼容性问题处理、精通请求优化及加载优化；4.对用户体验、交互操作流程、及用户需求有深刻的理解；?5.熟悉软件项目开发流程，有人工智能的项目开发经验优先6.有服务端后端开发经验者优先；,北海银海区同和水岸44栋608号
吉林省云领科技有限公司,前端实习生,2-6K,大专,周末双休，有免费班车，带薪年假，早九晚五。工作内容：1.能够按时完成项目的要求，保质量完成任务；2.要求代码编写规范，有编写技术文档的能力。任职要求：1.有过前端开发基础；2.前端基础扎实，熟练使用开发框架；3.对css、html等能熟练应用；4.熟悉web前端技术；5.对js、jq数据库了解使用；6.较好的团队协作精神，工作认真负责，热爱代码，喜欢技术。****能力不足且热爱互联网行业，可参与云领职业技术学校培养计划《专项技能培训+实时项目实站+岗前就业辅导》,长春南关区吉林省广告产业园区807
佛山市尚品优品科技有限公司,web前端,2-7K,大专,网站建设 企业网站 小程序 PC商城 管理系统,佛山顺德区顺德软件园203
龙岩市新罗区创和智联贸易有限公司,前端开发（实习生）,2-3K,大专,1具备基础HTML+CSS+JS技能2了解Vue等前端框架3熟悉前端dom操作4需要有对应练手的作品，截图即可5无这方面练习经验的。 勿扰,龙岩新罗区商务营运中心B幢506
吉林省集星科技有限公司,web前端实习生,2-4K,大专,工作职责1、负责Web前端相关工作开发；2、能够按时完成项目的要求；3、撰写相应技术文档、产品使用手册。任职资格1、大专及以上学历，计算机软件相关专业；2、熟练掌握TypeScript、JavaScript、HTML、CSS、ES6语法等Web前端相关技术；3、熟练使用Vue、React等前端框架，熟练应用redux、vuex、router；4、熟悉Node.js、C#等至少一门后端开发技术；5、优秀的团队协作精神，沟通顺畅；,长春朝阳区长春转业军人创业基地3楼
广州豆苗信息科技有限公司,WEB前端开发（实习）,2-4K,大专,岗位职责：1、根据产品需求完成PC桌面端、移动端网站开发；2、根据产品需求运用WEB前端技术完成移动端APP开发；3、根据产品需求完成H5小游戏开发；4、根据日常开发和线上遇到的问题，进行问题分析，定制出解决方案，保证系统的稳定性和安全性；任职条件：1、大学专科及以上学历，计算机相关专业；2、具备WEB前端基础知识体系，熟练掌握JavaScript、CSS、Vue等前端开发技能；3、实习需要全职工作；4、责任心强，工作积极主动，能承受工作压力；5、能虚心接受他人意见；6、“工作狂”优先！！！7、了解或掌握移动端开发者优先；8、熟悉浏览器兼容问题者优先；9、熟练使用Git等开发工具者优先；10、具备较强的学习能力，具备前端框架开发经验或大型项目开发者优先，有带领团队经验的优先；11、了解或掌握Laya（或Adobe Animate）前端游戏引擎优先；12、会写SQL语句，能做简单的数据库设计，会Spring和iBatis，懂一些设计模式优先,广州番禺区豆苗启智心算3楼
华勤技术股份有限公司,软件测试工程师,2-7K·13薪,大专,【测试技术员】【招聘要求】1.24级实习生，大专及以上学历；2.对软件测试感兴趣；3.良好的沟通表达能力、工作积极主动、踏实细心、吃苦耐劳、抗压能力强、有较强的责任心、具有团体精神。【岗位职责】1.测试、暴露、提交输出有效的产品问题；2.完成测试任务，并正确的提交相关测试报告；3.协助关联单位进行问题的定位和分析；4.协助搭建和完善相关的测试环境、标准及用例方法；5.完成个人相关知识的积累和总结归档；,无锡新吴区华勤技术股份有限公司C栋评测中心一楼
广元匠艺软件开发有限公司,前端开发,2-3K,大专,开发公司网站，小程序前端页面。熟练使用javascript，css，html，ajax，jquery。熟悉ps计算机相关专业毕业，热爱学习相关技术有项目案例,广元利州区广元万达广场
福州乐焰数据科技有限公司,（实习）WEB前端开发工程师,2-5K,大专,1、参与平台PC/H5的前端开发和维护工作；2、参与跟后台接口对接、页面业务逻辑处理、问题联调等工作；3、参与优化现有的系统架构和研究探索最新的前端技术；岗位要求：1、计算机相关专业应届毕业生，专科或以上学历，有商城、网站经验优先；2、有HTML、JavaScript、Ajax、CSS、HTML5、ES6、CSS3等web开发方法论；3、熟悉掌握HTTP/HTTPS协议相关知识；5、学习能力强，热衷于专研前沿技术能力，具备良好的代码编写习惯，良好的分析和解决问题能力，团队沟通协作精神；,福州闽侯县福州高新区海西园创新园二期17#1603
河北润华工程建设设计有限公司,建筑工程师,2-5K,大专,1.配合专业负责人制定工作计划，具有项目负责能力，能带领项目小组完成所承担任务。2.设计图纸和计算书完整齐全，清晰有序，符合规范、规程和统一技术措施要求，符合项目任务书设计要求，与本专业和有关专业在设计上无矛盾，对所做设计（计算）进行自校，并能校对小组其他人的图纸，经常与审核人保持联系，交换对重要技术问题的看法，并对校审记录中所提意见，逐条修改或作出回答。 3。积极配合建设单位完成施工图的报审及回复工作，对施工单位进行设计交底。解决施工中出现问题，参加各阶段验收及工程回访工作并作总结。,石家庄新华区铂领商务写字楼8
长春弘毅通信科技有限公司,5g通信工程师,2-3K,大专,单验簇优化，拉网测试分析，只招聘应届毕业实习生，,抚顺新抚区万达广场(抚顺店)606
广州漫薪网络科技有限公司,前端Vue开发实习生,2-5K,大专,重点学过前端的实习生任职要求：1、1年以上前端开发经验，有后台管理系统开发经验，学习、沟通能力强。2、熟练html5、css3、js，基础一定要好。3、熟练vue2、vue3(compositionApi、script setup)，重点是vue3全家桶技术栈。4、熟练element-plus、ag-grid、echarts图表、高德地图等插件的应用。5、熟练使用es6及以上版本进行编程。6、熟练uniapp跨端开发，打包app、h5和小程序。7、掌握微前端技术的应用。8、掌握git、svn等版本管理库操作。9、熟练前端调试、问题排查能力。,广州天河区青葱空间1层1285房
广州八斗软件科技有限公司,web前端实习生,2-4K,大专,"岗位职责：1、根据产品需求和设计完成兼容性良好的前端页面制作，与后台工程师协作，完成数据交互、动态信息展现；2、使用JS封装良好的前端交互组件，维护及优化网站前端页面性能，优化前端开发模式和规范；3、解决主流浏览器及不同版本之间的兼容性与分辨率适配问题4、优化网站的前端性能，保证网站的高质高速5、根据项目任务计划按时完成软件编码和单元测试工作；6、按照开发流程编写相应模块的设计文档；7、与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度。8、研究和探索创新的开发思路和最新的前端技术。9、要求至少可以实习半年或至毕业，希望双方可以长期合作！任职要求：1、熟悉Web前端技术，包括(X)HTML/CSS/JavaScript等，有实际应用开发经验，能够多浏览器高保真还原设计稿，代码风格严谨工整；2、熟悉JavaScript语言，熟悉并能熟练使用流行的开源Javascript开发框架或函数库（JQuery, Bootstrap, Angular, Ember等等）；3、熟悉HTML、CSS、AJAX等前端开发技术，特别是HTML5/CSS3，熟悉W3C标准；4、熟悉Vue前端框架开发；5、有Cordova等hybird相关技术经验者优先，有独立完成复杂前端模块的设计与实现优先。6、具有良好的沟通协调能力，工作认真负责，富有团队精神。",广州越秀区广日大厦广州越秀区五羊新城寺右南一街一巷9号广日大厦3楼303
南京苏艾科软件技术有限公司,web前端开发工程师,2-4K,大专,"1.负责前端页面（h5、pc、小程序）开发及维护;2.与设计、产品人员沟通，保证产品质量和开发进度;3.确保产品具有优质的用户体验和良好的兼容性;任职要求：1.具备1年以上web前端工作经验，熟练使用HTML, JAVASCRIPT, CSS的编写;2.熟练使用Vue前端框架；3.熟悉ES6、webpack、git等前端构建工具;4.代码规范，有良好的编码习惯，注重代码的可读性，可维护性;5.对业界最新的前端技术和实现有浓厚的兴趣和深入见解;6.诚信，务实，团队主义者，优秀的逻辑分析能力，良好的沟通能力，有产品交互设计思维的优先。有前端基础或者美工基础的优秀的实习生也可以投递",南京江宁区天琪科技大厦2栋14F1406
西安仟佰字码信息技术服务有限公司,前端实习生,1-2K,大专,1.大专及以上学历，计算机、软件工程及相关专业；2.熟悉HTML5/CSS3/JSON，具有良好的样式调试能力;3.掌握vue.js用法，有项目实践经验，了解小程序开发流程；4.具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力、能承受一定的工作压力；,西安雁塔区西安电子科技大学科技园C座226
重庆东磐科技有限公司,前端开发工程师,2-3K,大专,完成项目（小程序，H5，APP），前端开发任务熟练掌握各种前端开发技术，能根据客户需求快速拿出前端技术解决方案，配合UI和后端工程师高效快速的完成开发任务。,重庆大渡口区荣盛城观云郡花漾里组团东区1栋14-23
纳思达科技（大连）有限公司,前端开发实习生,1-2K,大专,岗位需求：使用html5、css3、JavaScript开发符合w3c标准的桌面端和移动端页面；?技术要求：熟练掌握html5&css3&JavaScript良好的编码习惯；?加分项：会使用Ajax；熟悉Vuejs | Angularjs；会使用Git,
深圳摩米贝尔科技有限公司,前端工程师实习生,1-4K,大专,职位描述：1.负责WEB、小程序的前端页面、模块的设计与开发；2.负责与后端工程师协同工作；3.完成leader安排的工作。职位要求：1.有一定的前端开发经验2.善于沟通，能吃苦3.喜欢学习新知识,深圳宝安区中粮创芯研发中心3号楼1112室
南昌象牙网络科技有限公司,前端实习生,1-2K,大专,岗位描述：从事公司内外部web站点/系统的前前端工作，方案选型及建设工作。在这里，您有机会为接触众多项目，不断提升。岗位要求：1、熟悉html/css/javascript等前端技术，有jQuery、vue等js框架使用经验。2、熟悉HTML5规范及开发经验。3、对技术热爱，业余有自学，有研究的优先。,南昌西湖区洪城广场B座1005
宜阳县七度软件开发工作室,前端开发工程师,2-4K,大专,工作内容：办公系统日常维护，系统开发、测试任职要求：1、计算机类专业。2、基础知识扎实，有良好的编码习惯。3、大三大四在校生均可。4、有过项目经验的优先。,洛阳洛龙区建业桂园·院望78号楼
辽宁瑞丰自动控制有限公司,前端工程师,2-7K,大专,一、岗位描述1、参与软件工程系统的设计、开发、测试等过程，并协助工程师或项目经理完成软件研发等相关工作；2、根据公司要求编写相应的技术文档；3、协调各个程序员的工作，并能与其它软件工程师协作工作。二、任职资格1、全国统招大专及以上应届生，相关专业优先；2、良好的专业理论基础知识并了解软硬件开发的流程；3、良好的学习能力，技术一直在发展，只有不断的学习才能保证能跟上时代的脚步。三、技术要求1、前端：熟悉HTML5、CSS、JS、AJAX、Jquery、Es6、kendoUI、VUE、React等Web开发技术；2、后端：有JAVA开发1年以上或者培训经验者，熟悉SpringBoot，SpringCloud，MyBatis等架构；3、全栈优先考虑。四、福利待遇1、五险，享受双休等福利，团队氛围好，非必要不加班；2、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国家法定节假日；3、有良好的晋升渠道：实习生--初级软件工程师--中级软件工程师--高级软件工程师--项目主管--项目经理；4、技术架构新，可在工作中提升个人技能。5、出差补助（本溪、鲅鱼圈、南京）五、工作时间周一至周五，早上8：00-下午17：00，午休1.5小时，周末双休。六、工作地点辽宁鞍山七、薪资待遇无经验 ：2000-3000 元/月1年以下：3000-4000 元/月1-3年  ：4000-6000 元/月3-5年  ：6000-8000 元/月,鞍山立山区鞍山海外学子创业基地501
海之诺传媒（大连）有限公司,web前端,2-5K,大专,独立完成前端开发，实现HTML,大连甘井子区华南红星国际广场8-2801
山西灿森网络科技有限公司,网络工程师,2-5K,大专,现因公司发展需要，需招聘网络工程师，相关要求：1、会简单配置防火墙，路由交换等网络安全设备。2.负责网络机房的日常巡检。3.完成领导交办的其他任务。,晋城城区国贸广场(西门)5层507
浙江衢州鹿鸣信息技术有限公司,web前端,2-4K,大专,"1.熟悉jq,html，css2.熟悉ps设计3.熟悉vue,小程序开发优先欢迎有一定基础的实习生！",衢州柯城区浙江开工厂有限公司3栋
