职位id,关系,薪资
390,,2-4K
391,,2-5K
392,,2-4K
393,,1-3K
394,,2-5K
395,,2-4K
396,,2-5K
397,,1-2K
398,,2-4K
399,,1-3K
400,,2-4K
401,,2-6K
402,,2-6K
403,,2-3K
404,,1-3K
405,,2-6K
406,,1-6K
407,,2-7K·13薪
408,,2-3K
409,,2-4K
410,,1-2K
411,,2-7K
412,,1-6K
413,,2-3K
414,,2-6K
415,,2-3K
416,,1-2K
417,,2-3K
418,,2-5K
419,,1-2K
420,,2-3K
421,,2-3K
422,,2-5K
423,,2-7K
424,,2-4K
425,,2-5K
426,,2-7K
427,,2-6K
428,,2-4K
429,,1-6K
430,,2-4K
431,,2-7K
432,,2-4K
433,,2-5K
434,,1-2K
435,,2-3K
436,,2-3K
437,,2-3K·13薪
438,,2-6K
439,,2-4K
440,,2-4K
441,,2-3K
442,,2-4K
443,,1-3K
444,,2-3K
445,,2-4K
446,,2-3K
447,,1-6K
448,,2-5K
449,,1-2K
450,,2-7K
451,,1-2K
452,,2-4K
453,,2-6K
454,,1-2K
455,,1-2K
456,,2-3K
457,,1-6K
458,,2-7K
459,,2-4K
460,,2-6K
461,,2-4K
462,,2-3K
463,,2-5K
464,,1-2K
465,,2-7K
466,,2-3K
467,,1-3K
468,,2-7K
469,,2-4K
470,,2-3K
471,,1-4K
472,,2-3K
473,,2-3K
474,,2-3K
475,,1-2K
476,,2-3K
477,,2-3K
478,,2-5K
479,,2-4K
480,,2-4K
481,,1-2K
482,,2-3K
483,,2-3K
484,,2-3K
485,,2-5K
486,,2-3K
487,,2-5K
488,,2-4K
489,,2-5K
490,,2-7K
491,,2-4K
492,,2-4K
493,,2-7K
494,,1-2K
495,,2-5K
496,,2-4K
497,,2-3K
498,,2-7K
499,,1-2K
500,,2-3K
501,,2-4K·13薪
502,,2-3K
503,,1-5K
504,,2-4K
505,,2-5K
506,,2-3K
507,,2-4K
508,,2-3K
509,,4-8K
510,,4-8K
511,,4-8K
512,,4-5K
513,,4-7K
514,,4-8K
515,,3-8K
516,,4-8K
517,,4-7K·13薪
518,,3-8K
519,,4-8K
520,,2-5K
521,,2-6K
522,,4-5K
523,,3-5K
524,,4-7K
525,,4-9K
526,,4-8K
527,,4-8K
528,,3-5K
529,,2-6K
530,,2-7K
531,,4-9K
532,,4-9K
533,,2-5K
534,,1-6K
535,,2-4K
536,,3-5K
537,,4-6K
538,,3-5K
539,,4-6K
540,,4-6K
541,,3-8K
542,,2-4K
543,,4-7K
544,,4-9K
545,,3-8K
546,,4-8K
547,,4-6K
548,,3-5K
549,,4-7K
550,,4-6K
551,,4-6K
552,,3-8K·13薪
553,,3-5K
554,,4-8K
555,,4-7K
556,,4-8K·13薪
557,,3-6K
558,,3-4K
559,,3-8K
560,,4-8K
561,,4-6K
562,,4-6K
563,,4-6K
564,,4-8K
565,,3-7K
566,,3-6K
567,,3-4K
568,,4-6K
569,,4-8K
570,,4-9K
571,,3-4K
572,,4-8K
573,,4-7K
574,,3-5K
575,,4-8K
576,,4-7K·13薪
577,,4-8K
578,,3-6K
579,,4-8K
580,,3-6K
581,,4-8K
582,,4-8K
583,,3-5K
584,,4-8K
585,,4-6K
586,,3-5K
587,,4-9K
588,,3-4K
589,,3-8K
590,,4-8K
591,,4-9K
592,,3-5K
593,,3-5K
594,,4-6K
595,,3-5K
596,,4-7K
597,,4-8K
598,,4-7K
599,,4-6K
600,,3-8K
601,,4-8K
602,,4-6K
603,,4-8K
604,,4-9K
605,,4-9K
606,,3-6K
607,,4-8K·13薪
608,,4-7K
609,,4-6K
610,,3-4K
611,,4-7K
612,,4-8K
613,,4-8K
614,,4-8K
615,,3-5K
616,,4-6K
617,,4-6K
618,,4-7K·13薪
619,,4-8K
620,,3-8K
621,,4-8K
622,,4-5K
623,,4-9K·13薪
624,,4-8K
625,,4-9K
626,,4-7K·13薪
627,,4-5K
628,,3-7K
629,,4-9K
630,,4-6K
631,,4-6K
632,,4-8K
633,,3-4K
634,,4-6K
635,,4-7K
636,,4-9K
637,,4-6K
638,,3-4K
639,,4-6K
640,,4-9K
641,,3-4K
642,,4-8K
643,,4-6K
644,,4-7K
645,,3-7K
646,,4-8K
647,,4-6K
648,,4-8K
649,,4-5K
650,,4-9K
651,,4-9K
652,,4-6K
653,,4-8K·13薪
654,,4-9K
655,,4-6K
656,,4-5K·13薪
657,,4-8K
658,,3-6K
659,,4-7K
660,,4-7K
661,,4-9K
662,,3-8K
663,,3-8K
664,,3-8K
665,,4-9K
666,,4-5K
667,,4-6K
668,,4-6K
669,,3-6K
670,,4-5K
671,,4-7K
672,,3-8K
673,,3-7K
674,,3-8K
675,,4-8K
676,,3-7K
677,,4-7K
678,,3-6K·13薪
679,,4-6K
680,,4-8K·13薪
681,,3-4K
682,,4-5K
683,,4-7K
684,,3-5K
685,,3-8K
686,,3-6K
687,,3-5K
688,,4-8K
689,,4-6K
690,,4-8K
691,,4-5K
692,,3-8K
693,,4-6K
694,,4-9K
695,,4-7K
696,,4-5K
697,,4-9K
698,,4-6K
699,,4-7K
700,,4-8K
701,,4-9K·13薪
702,,3-8K·15薪
703,,4-9K
704,,3-8K
705,,3-7K
706,,4-8K
707,,3-5K
708,,3-5K
709,,4-9K
710,,4-8K
711,,4-9K
712,,4-7K
713,,3-7K
714,,3-5K
715,,4-6K
716,,3-6K
717,,4-8K
718,,3-7K
719,,4-6K
720,,4-8K
721,,3-4K
722,,4-6K
723,,4-8K
724,,3-6K
725,,4-5K·13薪
726,,4-5K
727,,3-5K
728,,4-6K
729,,4-7K
730,,4-8K
731,,3-4K
732,,4-9K
733,,3-5K
734,,4-8K
735,,4-7K
736,,4-8K
737,,3-7K
738,,4-6K
739,,2-5K
740,,4-8K
741,,3-5K
742,,4-8K
743,,4-6K
744,,4-9K
745,,3-8K
746,,4-5K
747,,4-8K
748,,4-5K
749,,4-6K
750,,4-6K
751,,4-8K
752,,3-6K
753,,4-8K
754,,3-8K
755,,4-8K
756,,3-7K
757,,4-7K
758,,4-8K
759,,3-5K
760,,4-9K
761,,4-5K
762,,3-6K
763,,4-9K
764,,4-5K
765,,4-9K
766,,4-7K
767,,4-9K
768,,4-7K
769,,4-6K
770,,4-6K·13薪
771,,4-7K
772,,3-7K
773,,4-8K
774,,4-6K
775,,4-8K
776,,3-6K·13薪
777,,4-5K
778,,3-5K
779,,8-11K
780,,8-13K
781,,4-8K
782,,5-8K
783,,6-8K
784,,5-10K
785,,3-7K
786,,5-8K
787,,5-10K
788,,4-9K
789,,7-11K
790,,4-8K·13薪
791,,7-8K
792,,5-8K
793,,3-8K
794,,4-9K
795,,3-8K
796,,4-8K
797,,5-8K
798,,5-8K
799,,4-6K
800,,5-10K·13薪
801,,7-12K
802,,8-12K
803,,4-9K
804,,8-10K·13薪
805,,5-9K·13薪
806,,5-10K
807,,4-8K
808,,4-7K·13薪
809,,4-8K
810,,6-7K
811,,4-8K
812,,6-10K
813,,4-7K
814,,6-9K
815,,4-9K
816,,4-9K
817,,6-8K
818,,7-9K
819,,4-6K
820,,5-10K
821,,7-12K
822,,6-11K
823,,7-12K
824,,5-10K
825,,6-11K·13薪
826,,5-9K
827,,8-12K·13薪
828,,6-8K
829,,7-9K·13薪
830,,6-10K
831,,4-8K
832,,6-8K
833,,4-8K
834,,5-10K
835,,5-8K
836,,6-10K
837,,8-13K
838,,5-9K
839,,5-10K
840,,7-11K
841,,5-8K
842,,6-9K
843,,6-10K
844,,4-8K
845,,8-9K
846,,4-8K
847,,5-7K
848,,8-12K
849,,4-7K
850,,5-7K
851,,5-7K
852,,5-10K
853,,7-10K·13薪
854,,5-6K
855,,5-6K
856,,7-12K·13薪
857,,5-7K
858,,5-9K
859,,5-10K
860,,4-6K
861,,5-8K·13薪
862,,6-9K
863,,6-10K
864,,6-10K·13薪
865,,6-10K
866,,6-7K
867,,7-9K·13薪
868,,7-10K
869,,8-12K
870,,5-10K
871,,5-9K
872,,7-12K·14薪
873,,5-8K
874,,6-10K
875,,4-7K
876,,8-10K
877,,3-7K
878,,8-10K
879,,6-10K
880,,5-10K
881,,5-10K
882,,7-12K
883,,5-10K
884,,8-10K
885,,6-11K
886,,8-13K
887,,7-12K
888,,8-13K
889,,5-9K
890,,6-10K
891,,5-6K
892,,5-8K
893,,6-9K
894,,8-10K
895,,8-13K·13薪
896,,8-13K
897,,8-12K
898,,5-8K
899,,5-6K·13薪
900,,7-8K
901,,5-8K
902,,6-7K
903,,6-10K
904,,5-8K·13薪
905,,6-10K
906,,7-10K·13薪
907,,8-12K
908,,6-10K·13薪
909,,8-10K
910,,4-8K
911,,5-10K
912,,9-11K
913,,7-9K
914,,9-12K
915,,6-10K
916,,6-8K
917,,8-13K
918,,6-9K
919,,5-10K
920,,9-14K
921,,4-6K
922,,5-8K
923,,7-9K
924,,6-11K
925,,7-8K
926,,6-10K
927,,7-12K
928,,6-10K
929,,5-10K
930,,9-12K·13薪
931,,6-8K
932,,4-8K
933,,6-9K
934,,5-9K
935,,7-10K
936,,5-8K
937,,6-8K
938,,7-11K
939,,6-8K
940,,6-11K·13薪
941,,6-8K
942,,6-10K
943,,6-11K
944,,5-8K
945,,4-6K
946,,6-8K
947,,6-10K
948,,5-10K
949,,7-12K·13薪
950,,8-13K
951,,6-11K
952,,5-8K
953,,8-10K
954,,4-6K·13薪
955,,6-10K
956,,5-10K
957,,9-14K
958,,4-6K
959,,5-10K
960,,7-12K
961,,5-8K
962,,8-13K
963,,9-13K
964,,7-12K
965,,6-11K
966,,3-8K
967,,6-7K
968,,5-9K
969,,5-8K
970,,7-10K·13薪
971,,6-8K
972,,4-6K
973,,6-11K
974,,7-8K·13薪
975,,4-8K
976,,5-8K
977,,9-14K
978,,4-8K
979,,4-7K
980,,4-6K
981,,4-6K
982,,6-10K
983,,6-8K
984,,4-8K
985,,6-10K
986,,4-6K
987,,6-11K·13薪
988,,7-12K
989,,7-9K·13薪
990,,3-6K
991,,5-10K
992,,6-10K·13薪
993,,6-11K
994,,8-10K
995,,5-8K
996,,7-14K
997,,7-9K
998,,7-10K
999,,6-10K
1000,,4-7K
1001,,6-10K
1002,,3-6K
1003,,8-13K
1004,,6-8K
1005,,6-10K·13薪
1006,,8-12K
1007,,6-8K
1008,,6-10K
1009,,5-10K
1010,,3-6K·13薪
1011,,8-11K
1012,,6-10K·13薪
1013,,9-12K
1014,,5-8K
1015,,6-8K
1016,,6-10K
1017,,8-12K
1018,,8-12K
1019,,8-12K
1020,,3-8K
1021,,8-13K
1022,,4-9K
1023,,7-12K
1024,,8-12K
1025,,6-10K
1026,,7-12K
1027,,6-8K
1028,,9-14K·13薪
1029,,6-11K·14薪
1030,,8-10K·13薪
1031,,5-10K
1032,,8-10K
1033,,5-10K
1034,,5-9K
1035,,7-12K
1036,,5-10K·13薪
1037,,8-13K
1038,,4-8K
1039,,8-13K·13薪
1040,,8-13K
1041,,6-11K
1042,,8-13K
1043,,10-15K
1044,,6-11K
1045,,8-13K
1046,,8-12K
1047,,10-15K·13薪
1048,,7-14K
1049,,11-18K
1050,,8-13K
1051,,6-11K
1052,,6-11K
1053,,8-13K
1054,,10-15K
1055,,9-12K
1056,,7-11K
1057,,7-12K
1058,,10-15K
1059,,10-15K·13薪
1060,,15-20K
1061,,8-12K
1062,,9-14K
1063,,7-11K
1064,,10-15K
1065,,9-14K
1066,,14-15K
1067,,6-11K·14薪
1068,,10-14K
1069,,10-14K·13薪
1070,,9-14K·13薪
1071,,8-13K
1072,,7-12K
1073,,6-11K
1074,,9-13K
1075,,13-18K
1076,,6-11K·13薪
1077,,11-16K
1078,,7-12K
1079,,8-12K
1080,,8-12K
1081,,9-14K
1082,,12-13K
1083,,8-12K·13薪
1084,,7-12K
1085,,9-12K
1086,,7-12K
1087,,13-19K
1088,,8-13K
1089,,10-12K
1090,,8-13K
1091,,8-12K
1092,,10-15K
1093,,12-15K
1094,,7-12K
1095,,10-15K
1096,,8-12K
1097,,12-13K
1098,,10-15K
1099,,9-12K
1100,,8-13K
1101,,10-15K
1102,,10-15K
1103,,9-11K
1104,,15-18K
1105,,12-16K
1106,,8-13K
1107,,10-15K
1108,,8-13K
1109,,10-15K
1110,,10-11K
1111,,8-11K
1112,,6-11K
1113,,11-19K
1114,,12-15K
1115,,10-15K
1116,,10-11K
1117,,8-13K·13薪
1118,,14-15K·13薪
1119,,10-15K
1120,,8-13K
1121,,19-25K·15薪
1122,,15-20K·13薪
1123,,13-20K
1124,,8-12K
1125,,8-12K
1126,,8-13K
1127,,8-13K·13薪
1128,,13-24K
1129,,14-16K
1130,,10-15K
1131,,7-12K·13薪
1132,,8-13K
1133,,6-11K
1134,,8-13K
1135,,10-15K·14薪
1136,,15-25K
1137,,12-20K·14薪
1138,,6-11K
1139,,7-12K·13薪
1140,,8-13K
1141,,6-11K
1142,,10-15K·13薪
1143,,6-11K
1144,,10-15K
1145,,8-12K
